City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Tabou,CI,4.423,-7.3528,76.14,80,92,6.51,overcast clouds
248,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,77,0,8.95,clear sky
249,Kibuye,RW,-2.0597,29.3482,67.08,62,66,2.33,broken clouds
250,Najran,SA,17.4924,44.1277,88.45,48,71,8.88,broken clouds
251,Mabaruma,GY,8.2,-59.7833,81.21,80,30,4.25,scattered clouds
252,Victoria,HK,22.2855,114.1577,84.96,86,100,1.01,overcast clouds
253,Tecoanapa,MX,16.5167,-98.75,88.07,61,53,11.01,broken clouds
254,Paamiut,GL,61.994,-49.6678,43.83,89,16,6.04,few clouds
255,Kavarna,BG,43.4333,28.3333,76.57,91,0,8.97,clear sky
256,Viedma,AR,-40.8135,-62.9967,48.25,47,17,8.46,few clouds
257,Malazgirt,TR,39.1427,42.5401,65.93,60,1,7.87,clear sky
258,Verdun,FR,49.25,5.3333,63.16,89,15,8.25,few clouds
259,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,75,9.22,broken clouds
260,Sibu,MY,2.3,111.8167,77.31,94,40,0.0,scattered clouds
261,Pamplona,ES,42.8169,-1.6432,68.52,77,40,10.36,scattered clouds
262,Anapskaya,RU,44.89,37.38,66.43,77,0,6.71,clear sky
263,Airai,TL,-8.9266,125.4092,56.5,61,19,3.09,few clouds
264,Nabire,ID,-3.3667,135.4833,76.86,91,83,2.75,broken clouds
265,Vanimo,PG,-2.6741,141.3028,76.93,90,36,4.9,scattered clouds
266,Ginda,IN,30.6945,78.4932,65.86,94,100,1.83,overcast clouds
267,Rio Gallegos,AR,-51.6226,-69.2181,46.45,81,75,4.61,light rain
268,Poum,NC,-20.2333,164.0167,72.52,64,88,14.25,overcast clouds
269,Valparaiso,CL,-33.0393,-71.6273,66.43,46,0,4.61,clear sky
270,Noumea,NC,-22.2763,166.4572,66.99,99,22,5.32,few clouds
271,Zavallya,UA,48.2135,30.0156,75.65,62,0,9.42,clear sky
272,Cherskiy,RU,68.75,161.3,37.54,85,100,17.85,overcast clouds
273,Nador,MA,35.174,-2.9287,77.07,83,0,5.75,clear sky
274,Half Moon Bay,US,37.4636,-122.4286,96.58,62,40,1.01,scattered clouds
275,Mogadishu,SO,2.0371,45.3438,76.17,85,75,19.33,light rain
276,Manitouwadge,CA,49.1215,-85.8403,70.52,36,71,12.39,broken clouds
277,Egvekinot,RU,66.3167,-179.1667,37.4,90,100,2.8,light rain
278,Arlit,NE,18.7369,7.3853,87.24,44,78,19.01,broken clouds
279,Esperance,AU,-33.8667,121.9,55.24,64,63,26.19,broken clouds
280,Qidong,CN,31.8128,121.6561,82.04,92,79,20.36,broken clouds
281,Coahuayana,MX,18.7333,-103.6833,90.88,63,65,6.38,broken clouds
282,Perth,AU,-31.9333,115.8333,66.06,78,20,17.27,few clouds
283,Tukrah,LY,32.5341,20.5791,79.36,79,0,11.95,clear sky
284,Taoudenni,ML,22.6783,-3.9836,104.23,16,2,10.04,clear sky
285,Vostok,RU,46.4856,135.8833,73.26,83,62,2.8,broken clouds
286,Acapulco,MX,16.8634,-99.8901,87.62,70,40,5.75,scattered clouds
287,Loiza,PR,18.4313,-65.8802,86.86,72,40,14.97,scattered clouds
288,Nome,US,64.5011,-165.4064,51.87,93,90,18.41,moderate rain
289,Porohy,UA,48.6876,24.2632,65.3,70,3,6.96,clear sky
290,Kahului,US,20.8947,-156.47,83.46,83,40,24.16,scattered clouds
291,Filingue,NE,14.3521,3.3168,87.64,52,65,9.06,broken clouds
292,Khovu-Aksy,RU,51.1333,93.6,47.08,88,81,2.04,broken clouds
293,El Alto,PE,-4.2714,-81.2147,74.86,76,11,16.71,few clouds
294,Severo-Yeniseyskiy,RU,60.3725,93.0408,51.22,91,100,2.15,light rain
295,Praia Da Vitoria,PT,38.7333,-27.0667,76.75,88,75,7.96,broken clouds
296,Norman Wells,CA,65.282,-126.8329,60.84,77,90,10.36,light rain
297,Singleton,AU,-32.5667,151.1833,55.18,86,1,7.0,clear sky
298,Lewistown,US,40.5992,-77.5714,85.24,50,1,0.0,clear sky
299,Fort Smith,US,35.3859,-94.3986,99.37,53,20,1.99,few clouds
300,Selma,US,36.5708,-119.6121,103.03,31,1,8.05,clear sky
301,Eydhafushi,MV,5.1033,73.0708,82.27,75,100,10.74,overcast clouds
302,Ankazobe,MG,-18.3167,47.1167,50.41,88,0,5.86,clear sky
303,Narsaq,GL,60.9167,-46.05,55.62,77,74,5.53,broken clouds
304,Pacific Grove,US,36.6177,-121.9166,92.61,78,1,1.01,clear sky
305,Porto Novo,BJ,6.4965,2.6036,76.82,81,12,6.53,few clouds
306,Camopi,GF,3.1655,-52.3158,75.45,97,87,3.33,overcast clouds
307,Takoradi,GH,4.8845,-1.7554,75.92,81,83,6.98,broken clouds
308,East London,ZA,-33.0153,27.9116,63.93,81,100,4.21,light rain
309,Saint-Joseph,RE,-21.3667,55.6167,68.38,85,97,15.1,light rain
310,Minot,US,48.2325,-101.2963,88.02,29,1,18.41,smoke
311,Dinard,FR,48.6314,-2.0614,62.69,82,90,3.44,overcast clouds
312,Tromso,NO,69.6496,18.957,54.25,81,0,14.97,clear sky
313,Kaeo,NZ,-35.1,173.7833,47.32,96,29,2.57,scattered clouds
314,Shumskiy,RU,54.8318,99.1328,57.02,86,100,7.87,overcast clouds
315,Mtinko,TZ,-4.55,34.85,61.74,50,3,12.77,clear sky
316,Teluknaga,ID,-6.0989,106.6381,79.63,73,20,2.3,mist
317,Cap-Aux-Meules,CA,47.3821,-61.8597,64.45,72,40,8.05,scattered clouds
318,Camacha,PT,33.0833,-16.3333,70.56,73,20,10.36,few clouds
319,Hilton Head Island,US,32.2163,-80.7526,90.05,74,1,0.0,clear sky
320,Mhlambanyatsi,SZ,-26.45,31.0167,44.76,36,0,5.44,clear sky
321,Hualmay,PE,-11.0964,-77.6139,67.39,74,54,11.18,broken clouds
322,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,76,90,8.05,overcast clouds
323,Abaza,RU,52.655,90.0928,54.61,96,100,0.27,overcast clouds
324,Sikonge,TZ,-5.6333,32.7667,65.37,38,1,3.87,clear sky
325,Tocopilla,CL,-22.092,-70.1979,68.04,51,18,7.52,few clouds
326,Colac,AU,-38.3333,143.5833,46.62,94,27,10.67,scattered clouds
327,Karratha,AU,-20.7377,116.8463,65.21,68,7,10.0,clear sky
328,Imbituba,BR,-28.24,-48.6703,57.81,53,80,11.25,broken clouds
329,Palmer,US,42.1584,-72.3287,80.47,52,75,3.44,broken clouds
330,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,79.63,29,0,1.97,clear sky
331,Mana,GF,5.6592,-53.7767,79.97,84,62,10.92,broken clouds
332,Moerai,PF,-22.4333,-151.3333,72.0,72,11,10.67,few clouds
333,Hastings,GB,50.8552,0.5729,63.19,82,4,21.9,clear sky
334,Sambava,MG,-14.2667,50.1667,65.68,82,0,9.66,clear sky
335,Kokopo,PG,-4.352,152.2633,74.66,91,100,7.05,moderate rain
336,Hailun,CN,47.45,126.9333,68.61,89,100,2.33,overcast clouds
337,Marystown,CA,47.1666,-55.1483,70.86,100,95,1.99,overcast clouds
338,Codrington,AU,-38.2667,141.9667,43.54,91,6,10.13,clear sky
339,Tomatlan,MX,19.9333,-105.25,90.93,59,34,8.1,scattered clouds
340,Natal,BR,-5.795,-35.2094,81.25,78,40,16.11,scattered clouds
341,Toma,BF,12.7667,-2.8833,80.2,67,60,10.78,broken clouds
342,Siteki,SZ,-26.45,31.95,52.27,69,0,4.05,clear sky
343,Naryan-Mar,RU,67.6713,53.087,43.79,88,100,4.74,overcast clouds
344,Siguiri,GN,11.6667,-9.5,74.19,92,100,3.6,light rain
345,Benguela,AO,-12.5763,13.4055,70.18,85,52,2.37,broken clouds
